layer,trait,ethics_auc,ethics_p,synth_auc,synth_p
32,honesty,0.6277056277056277,0.0016,0.7047916666666667,0.0001
32,harmlessness,0.5216206395348837,0.7108,0.5691666666666667,0.1946
32,fairness,0.49433962264150944,0.9106,0.510625,0.8425
32,compassion,0.4336444805194805,0.2586,0.45458333333333334,0.3957
40,honesty,0.4652236652236652,0.3971,0.54875,0.3627
40,harmlessness,0.6400799418604651,0.0107,0.6802083333333333,0.0007
40,fairness,0.6457023060796646,0.0026,0.45666666666666667,0.4162
40,compassion,0.6576704545454546,0.0074,0.6629166666666667,0.0017
47,honesty,0.35055315055315056,0.0,0.39479166666666665,0.047
47,harmlessness,0.6146438953488372,0.0412,0.6758333333333333,0.0008
47,fairness,0.6672257162823201,0.0002,0.6125,0.0304
47,compassion,0.5409902597402597,0.4881,0.6170833333333333,0.0251
