layer,projected_trait,g_1,g_3
32,honesty,0.5593005002773436,0.7919856076687996
32,harmlessness,0.5875890355026925,0.8104012862235744
32,fairness,0.605578824483123,0.8216223182000272
32,compassion,0.4950458336036856,0.7462658757297851
40,honesty,0.539177531191886,0.7782753884797851
40,harmlessness,0.6769642150083227,0.8627673718230282
40,fairness,0.5809236591544907,0.80614896468576
40,compassion,0.7083918969947511,0.8793404260114318
47,honesty,0.5966386611292903,0.8160919575572237
47,harmlessness,0.6033143263786112,0.8202299815486749
47,fairness,0.6735091792317931,0.8608912369215828
47,compassion,0.5847605259263118,0.8086031597992093
