permutation,layer,projected_trait,g_1,g_3
0,32,honesty,0.02366396960803208,0.06778383939345152
0,32,harmlessness,0.0,0.0
0,32,fairness,0.010435290810479702,0.03066585813623015
0,32,compassion,0.0,0.0
0,40,honesty,0.0,0.0
0,40,harmlessness,0.03113527408674619,0.0879303510963794
0,40,fairness,0.0,0.0
0,40,compassion,0.0,0.0
0,47,honesty,0.022961981088282405,0.0658613300354031
0,47,harmlessness,0.023930408999163214,0.06851217811028439
0,47,fairness,0.0,0.0
0,47,compassion,0.03691578272054201,0.10313288575768002
1,32,honesty,0.06386566516498984,0.16989595867564247
1,32,harmlessness,0.05140626631400872,0.1398413550619711
1,32,fairness,0.0,0.0
1,32,compassion,0.027472330981139655,0.07812447033014693
1,40,honesty,0.0,0.0
1,40,harmlessness,0.0,0.0
1,40,fairness,0.0,0.0
1,40,compassion,0.013003476511453827,0.038021603478831885
1,47,honesty,0.0,0.0
1,47,harmlessness,0.03678081597647509,0.10278166119694293
1,47,fairness,0.0,0.0
1,47,compassion,0.0,0.0
2,32,honesty,0.0454868231453209,0.1250813618641791
2,32,harmlessness,0.0,0.0
2,32,fairness,0.0,0.0
2,32,compassion,0.015448669148403444,0.04495695713191065
2,40,honesty,0.007197979094584957,0.021287483560465767
2,40,harmlessness,0.0,0.0
2,40,fairness,0.017433164835880373,0.050537439481898594
2,40,compassion,0.0,0.0
2,47,honesty,0.008418364108060065,0.024836919854858388
2,47,harmlessness,0.0,0.0
2,47,fairness,0.052943306968162754,0.14362224743741525
2,47,compassion,0.0,0.0
3,32,honesty,0.0,0.0
3,32,harmlessness,0.0,0.0
3,32,fairness,0.0,0.0
3,32,compassion,0.0,0.0
3,40,honesty,0.031221693760491075,0.08816006799197425
3,40,harmlessness,0.0028090853699288365,0.0083801748566122
3,40,fairness,0.0,0.0
3,40,compassion,0.03210407674424549,0.09050130833617791
3,47,honesty,0.0,0.0
3,47,harmlessness,0.0005484813572923456,0.0016436410589192418
3,47,fairness,0.0,0.0
3,47,compassion,0.03017385833266502,0.08536970804508813
4,32,honesty,0.0,0.0
4,32,harmlessness,0.0,0.0
4,32,fairness,0.030647399323392038,0.0866321007955641
4,32,compassion,0.0,0.0
4,40,honesty,0.0,0.0
4,40,harmlessness,0.0,0.0
4,40,fairness,0.011773256858270555,0.03450724525118459
4,40,compassion,0.028451862421565357,0.08076004016105141
4,47,honesty,0.00961238664419913,0.028293229019108305
4,47,harmlessness,0.021794990502002762,0.0626538896464907
4,47,fairness,0.018595019543808766,0.05378479982366453
4,47,compassion,0.020364499759371373,0.058702601067487474
5,32,honesty,0.0,0.0
5,32,harmlessness,0.0,0.0
5,32,fairness,0.0,0.0
5,32,compassion,0.0,0.0
5,40,honesty,0.001194671655717596,0.003575471937194428
5,40,harmlessness,0.0036798947617656314,0.010959028144768939
5,40,fairness,0.046446722287460676,0.1274965711927919
5,40,compassion,0.0,0.0
5,47,honesty,0.0,0.0
5,47,harmlessness,0.045365444114884225,0.1247753536764086
5,47,fairness,0.03846424638119141,0.10714986177734541
5,47,compassion,0.015701478562729715,0.04567025463982587
6,32,honesty,0.0,0.0
6,32,harmlessness,0.029175202993023928,0.08270002872774976
6,32,fairness,0.012824817284291646,0.03751227568960073
6,32,compassion,0.0,0.0
6,40,honesty,0.0,0.0
6,40,harmlessness,0.009828651924696003,0.02891751538754556
6,40,fairness,0.0,0.0
6,40,compassion,0.0,0.0
6,47,honesty,0.010053901905255562,0.029567174766334144
6,47,harmlessness,0.0,0.0
6,47,fairness,0.001134246395990952,0.0033950375697174443
6,47,compassion,0.026025738520071864,0.0742142540209906
7,32,honesty,0.0,0.0
7,32,harmlessness,0.0,0.0
7,32,fairness,0.0,0.0
7,32,compassion,0.02284375686923731,0.0655370459217815
7,40,honesty,0.0,0.0
7,40,harmlessness,0.026507336079522482,0.07551842376091472
7,40,fairness,0.0,0.0
7,40,compassion,0.028535283773546728,0.08098404586108807
7,47,honesty,0.0,0.0
7,47,harmlessness,0.018050882101946254,0.05226576015672353
7,47,fairness,0.024302079332762957,0.06952693959469965
7,47,compassion,0.0015661919307934896,0.004683904007059532
8,32,honesty,0.0,0.0
8,32,harmlessness,0.0,0.0
8,32,fairness,0.011780093684377164,0.03452682264242813
8,32,compassion,0.0,0.0
8,40,honesty,0.0131296081464624,0.03838097024031447
8,40,harmlessness,0.0,0.0
8,40,fairness,0.006049264423425118,0.017930856288223555
8,40,compassion,0.027229599618322154,0.07746985271132684
8,47,honesty,0.004084006665634754,0.012152756122880906
8,47,harmlessness,0.021614885639604058,0.06215759816679662
8,47,fairness,0.0,0.0
8,47,compassion,0.0,0.0
9,32,honesty,0.04489087296154729,0.12357760568889695
9,32,harmlessness,0.03914767989066602,0.10891546421549504
9,32,fairness,0.009441910574609988,0.02780074738244522
9,32,compassion,0.017904050864093232,0.051855312294491654
9,40,honesty,0.0,0.0
9,40,harmlessness,0.0,0.0
9,40,fairness,0.0,0.0
9,40,compassion,0.009407118663132276,0.02770019789226722
9,47,honesty,0.0,0.0
9,47,harmlessness,0.0,0.0
9,47,fairness,0.0,0.0
9,47,compassion,0.0,0.0
10,32,honesty,0.0,0.0
10,32,harmlessness,0.0,0.0
10,32,fairness,0.025305303026532486,0.07225884513463882
10,32,compassion,0.022216941773980852,0.06381526525693369
10,40,honesty,0.05710529080903336,0.15375538094272415
10,40,harmlessness,0.0,0.0
10,40,fairness,0.0,0.0
10,40,compassion,0.0,0.0
10,47,honesty,0.0,0.0
10,47,harmlessness,0.017420796840792865,0.05050279273801532
10,47,fairness,0.0,0.0
10,47,compassion,0.021670594402643583,0.062311144144874285
11,32,honesty,0.0,0.0
11,32,harmlessness,0.0,0.0
11,32,fairness,0.029306126463331052,0.08305059680438434
11,32,compassion,0.0,0.0
11,40,honesty,0.0009861583879855612,0.00295265159967305
11,40,harmlessness,0.0,0.0
11,40,fairness,0.0,0.0
11,40,compassion,0.0,0.0
11,47,honesty,0.013293531126477793,0.03884774593974634
11,47,harmlessness,0.0,0.0
11,47,fairness,0.024976097673885304,0.07136352812409501
11,47,compassion,0.011529856574340344,0.03380992260614425
12,32,honesty,0.0,0.0
12,32,harmlessness,0.0,0.0
12,32,fairness,0.06537840136210554,0.17345480797797466
12,32,compassion,0.0032313598760283163,0.009631831798472474
12,40,honesty,2.8855112282565557e-05,8.656034143095425e-05
12,40,harmlessness,0.0,0.0
12,40,fairness,0.01715675578172834,0.04976273322329817
12,40,compassion,0.0,0.0
12,47,honesty,0.0,0.0
12,47,harmlessness,0.0,0.0
12,47,fairness,0.03812359820378755,0.10626814638228373
12,47,compassion,0.0,0.0
13,32,honesty,0.008072181621911364,0.023831795699213423
13,32,harmlessness,0.0,0.0
13,32,fairness,0.012661722932843128,0.03704701082540671
13,32,compassion,0.017303543086054456,0.05017424484325244
13,40,honesty,0.0,0.0
13,40,harmlessness,0.0283847904587849,0.0805798850705156
13,40,fairness,0.0,0.0
13,40,compassion,0.0,0.0
13,47,honesty,0.01098357993258581,0.0322424644272372
13,47,harmlessness,0.0,0.0
13,47,fairness,0.018678570315375953,0.054017761821214295
13,47,compassion,0.006484879861154697,0.01920554823748864
14,32,honesty,0.00320460567172081,0.00955259243139188
14,32,harmlessness,0.010167898464457233,0.029895741661896097
14,32,fairness,0.0,0.0
14,32,compassion,0.021603859357754742,0.06212720334648792
14,40,honesty,0.0008622347432877561,0.002582251216433855
14,40,harmlessness,0.026577122366639973,0.07570720765609462
14,40,fairness,0.0,0.0
14,40,compassion,0.032530174206337574,0.09162910135980355
14,47,honesty,0.023091842901040285,0.06621736664724341
14,47,harmlessness,0.0,0.0
14,47,fairness,0.0344324575288678,0.09664212112437401
14,47,compassion,0.0,0.0
15,32,honesty,0.013936191356571958,0.04067486856623105
15,32,harmlessness,0.038675184130492486,0.1076952826207886
15,32,fairness,0.031936303367068854,0.09005675068119248
15,32,compassion,0.0,0.0
15,40,honesty,0.0,0.0
15,40,harmlessness,0.0,0.0
15,40,fairness,0.008139571346510804,0.024027565866230078
15,40,compassion,0.0,0.0
15,47,honesty,0.0,0.0
15,47,harmlessness,0.006251365465101506,0.018522514381837586
15,47,fairness,0.0,0.0
15,47,compassion,0.0,0.0
16,32,honesty,0.010395674845128345,0.03055181114617424
16,32,harmlessness,0.06968841447106562,0.18349086808032256
16,32,fairness,0.03410307519956654,0.09577666779064321
16,32,compassion,0.0,0.0
16,40,honesty,0.0,0.0
16,40,harmlessness,0.018291282017350117,0.05293726515952995
16,40,fairness,0.016556364446963023,0.04807712842147045
16,40,compassion,0.03512042957113328,0.09844633365786516
16,47,honesty,0.002110332085824272,0.006304387554796101
16,47,harmlessness,0.0,0.0
16,47,fairness,0.0,0.0
16,47,compassion,0.015411722856770381,0.0448526551880152
17,32,honesty,0.0,0.0
17,32,harmlessness,0.0,0.0
17,32,fairness,0.0,0.0
17,32,compassion,0.04672855201582982,0.12820407451797997
17,40,honesty,0.009564490602220404,0.02815489730529526
17,40,harmlessness,0.005388155779656013,0.015992131151185484
17,40,fairness,0.0,0.0
17,40,compassion,0.04743103687087848,0.12996441654640586
17,47,honesty,0.0,0.0
17,47,harmlessness,0.0,0.0
17,47,fairness,0.0,0.0
17,47,compassion,0.0,0.0
18,32,honesty,0.0,0.0
18,32,harmlessness,0.004277558984661396,0.012723823145949787
18,32,fairness,0.04540761747926473,0.1248816922170812
18,32,compassion,0.046143266236107545,0.12673396090951433
18,40,honesty,0.06710182034065401,0.17748617073829814
18,40,harmlessness,0.057246762842189,0.1540971612384256
18,40,fairness,0.0,0.0
18,40,compassion,0.0,0.0
18,47,honesty,0.04315621380572213,0.11918177324164346
18,47,harmlessness,0.007169651409518393,0.02120489087702489
18,47,fairness,0.0,0.0
18,47,compassion,0.0,0.0
19,32,honesty,0.006663246432613604,0.019726849577690313
19,32,harmlessness,0.01857272817604832,0.05372263281576716
19,32,fairness,0.012355189684878995,0.036171751356157765
19,32,compassion,0.002562041771013216,0.007646941744698802
19,40,honesty,0.0,0.0
19,40,harmlessness,0.017930042163208725,0.051927984583558844
19,40,fairness,0.0030396260798589607,0.0090637772521416
19,40,compassion,0.0,0.0
19,47,honesty,0.0076748082894855935,0.022676351566501038
19,47,harmlessness,0.0,0.0
19,47,fairness,0.0,0.0
19,47,compassion,0.010447253015617565,0.030700291618469898
20,32,honesty,0.02827782464503147,0.08029248056370435
20,32,harmlessness,0.0,0.0
20,32,fairness,0.0004650638151184238,0.0013938949451531369
20,32,compassion,0.02348651405168989,0.06729833554805997
20,40,honesty,0.0,0.0
20,40,harmlessness,0.01872614410666948,0.054150376801189386
20,40,fairness,0.0,0.0
20,40,compassion,0.0,0.0
20,47,honesty,0.0,0.0
20,47,harmlessness,0.007514178948928557,0.022208775421281517
20,47,fairness,0.0,0.0
20,47,compassion,0.0,0.0
21,32,honesty,0.00022614886253725542,0.0006781398664928692
21,32,harmlessness,0.019645093414955378,0.0567072421078401
21,32,fairness,0.03322840074954695,0.09347326784218137
21,32,compassion,0.043496469627165885,0.12004623412826614
21,40,honesty,0.0,0.0
21,40,harmlessness,0.0,0.0
