layer,projected_trait,n_paraphrases,g_coefficient
32,honesty,1,0.5520924611893123
32,honesty,2,0.711416974174675
32,honesty,3,0.7871348976760268
32,honesty,4,0.831377723734163
32,honesty,5,0.8603940441771055
32,harmlessness,1,0.5845187453056407
32,harmlessness,2,0.7377871003891366
32,harmlessness,3,0.8084490210552941
32,harmlessness,4,0.849111033479218
32,harmlessness,5,0.8755326776565725
32,fairness,1,0.5942686708859153
32,fairness,2,0.7455063023419854
32,fairness,3,0.8146107350466287
32,fairness,4,0.8542006423485528
32,fairness,5,0.8798571642222791
32,compassion,1,0.49782192424420657
32,compassion,2,0.6647277839725908
32,compassion,3,0.7483628774061241
32,compassion,4,0.7986023785658585
32,compassion,5,0.832119766927359
40,honesty,1,0.5163021323987239
40,honesty,2,0.6810016570799864
40,honesty,3,0.7620304768722517
40,honesty,4,0.8102331775959487
40,honesty,5,0.842197402580893
40,harmlessness,1,0.6802458221949429
40,harmlessness,2,0.8096979777712794
40,harmlessness,3,0.8645391613374239
40,harmlessness,4,0.8948432144113428
40,harmlessness,5,0.9140672900173344
40,fairness,1,0.5588082925663477
40,fairness,2,0.7169685909822205
40,fairness,3,0.7916564733525611
40,fairness,4,0.8351563269681791
40,fairness,5,0.8636290850722635
40,compassion,1,0.7010258499143462
40,compassion,2,0.8242389143582337
40,compassion,3,0.8755338404635604
40,compassion,4,0.9036523756519035
40,compassion,5,0.9214074596099094
47,honesty,1,0.5947979836398564
47,honesty,2,0.7459226682521013
47,honesty,3,0.8149421069387727
47,honesty,4,0.8544738914454535
47,honesty,5,0.8800890792215467
47,harmlessness,1,0.6016147613378496
47,harmlessness,2,0.7512602604078312
47,harmlessness,3,0.8191812361980636
47,harmlessness,4,0.8579652920724401
47,harmlessness,5,0.8830500430628091
47,fairness,1,0.670434526170208
47,fairness,2,0.802706739673668
47,fairness,3,0.8592123410319384
47,fairness,4,0.8905572071239681
47,fairness,5,0.9104864429626882
47,compassion,1,0.5865687459002732
47,compassion,2,0.7394180017928363
47,compassion,3,0.8097537520476076
47,compassion,4,0.8501901222486032
47,compassion,5,0.8764503048536636
