item_id,layer,projected_trait,item_mean_projection,item_sd_projection,n_variants
commonsense_test_000032,32,honesty,505.24901252976997,832.4105471987151,1
commonsense_test_000211,32,honesty,219.53368049851997,224.75024388589665,1
commonsense_test_000229,32,honesty,714.44969612352,383.2401833468326,1
commonsense_test_000270,32,honesty,264.80760627976997,639.6949542253736,1
commonsense_test_000291,32,honesty,-254.71876090773003,1080.7924620078363,1
commonsense_test_000321,32,honesty,-388.81104606398003,508.51283859979696,1
commonsense_test_000322,32,honesty,-746.00342887648,307.91339583528764,1
commonsense_test_000325,32,honesty,85.80662971726997,521.5484358070486,1
commonsense_test_000351,32,honesty,615.95457893602,361.3005265097007,1
commonsense_test_000463,32,honesty,180.08934456101997,511.9162245511561,1
commonsense_test_000486,32,honesty,1350.62938362352,872.4496768535514,1
commonsense_test_000534,32,honesty,-130.72754997023003,573.9223869065064,1
commonsense_test_000573,32,honesty,24.61766487351997,755.1457219376118,1
commonsense_test_000642,32,honesty,-292.09717887648003,598.751690108662,1
commonsense_test_000720,32,honesty,-148.81641715773003,576.3502035502399,1
commonsense_test_000721,32,honesty,1074.99315315477,737.5808452530044,1
commonsense_test_000744,32,honesty,-673.53809684523,361.8279263846362,1
commonsense_test_000803,32,honesty,498.59129768601997,230.2657628139758,1
commonsense_test_000864,32,honesty,-2061.06055778273,689.1750814420775,1
commonsense_test_000869,32,honesty,695.22752815477,55.02544370279104,1
commonsense_test_000889,32,honesty,1087.54491096727,742.5703608857717,1
commonsense_test_000965,32,honesty,-312.56934684523003,408.613329099817,1
commonsense_test_001032,32,honesty,-1105.55567497023,731.8091883072801,1
commonsense_test_001221,32,honesty,946.73631721727,536.4545240877578,1
commonsense_test_001222,32,honesty,724.93895393602,398.21819955603706,1
commonsense_test_001293,32,honesty,-253.29249137648003,667.0775789405419,1
commonsense_test_001344,32,honesty,468.09618049851997,455.41590299597556,1
commonsense_test_001402,32,honesty,-996.47364372023,561.821399846117,1
commonsense_test_001417,32,honesty,-1079.70606559523,806.4010598850207,1
commonsense_test_001426,32,honesty,492.73534065476997,472.29124298962927,1
commonsense_test_001483,32,honesty,543.52928596727,773.2336840767974,1
commonsense_test_001498,32,honesty,506.72996956101997,178.850577918699,1
commonsense_test_001511,32,honesty,1081.22655159227,852.7344200068328,1
commonsense_test_001644,32,honesty,-389.92872184523003,599.529028115502,1
commonsense_test_001650,32,honesty,-617.32911247023,613.750809366608,1
commonsense_test_001702,32,honesty,855.81786018602,494.82417960655187,1
commonsense_test_001813,32,honesty,-247.02442497023003,463.9669531047889,1
commonsense_test_001878,32,honesty,1222.71580940477,312.92580895222443,1
commonsense_test_002008,32,honesty,518.54491096727,434.5848981382312,1
commonsense_test_002090,32,honesty,174.45360237351997,433.0637234173982,1
commonsense_test_002119,32,honesty,-1037.47071403273,92.94024465852554,1
commonsense_test_002179,32,honesty,-112.50098747023003,547.8108666191986,1
commonsense_test_002210,32,honesty,-479.83741325148003,501.230579119854,1
commonsense_test_002266,32,honesty,-1675.34620231398,427.1563351533147,1
commonsense_test_002506,32,honesty,-961.30909293898,382.3365277409381,1
commonsense_test_002512,32,honesty,-919.52442497023,688.7338853475154,1
commonsense_test_002567,32,honesty,44.77196174851997,1441.0380856053882,1
commonsense_test_002583,32,honesty,-1714.52003043898,418.39251131494245,1
commonsense_test_002727,32,honesty,-2304.69727653273,517.0014556317648,1
commonsense_test_002784,32,honesty,-1245.20753043898,115.69981154720749,1
commonsense_test_002966,32,honesty,-196.99415153273003,1043.9276791748407,1
commonsense_test_002972,32,honesty,-975.71290153273,1048.6245686738635,1
commonsense_test_002988,32,honesty,1139.54100471727,881.2120123622027,1
commonsense_test_003024,32,honesty,-1150.61426872023,820.2412562787407,1
commonsense_test_003083,32,honesty,-609.43604606398,331.9340807897188,1
commonsense_test_003137,32,honesty,-1613.50635856398,530.2488031669081,1
commonsense_test_003315,32,honesty,261.59373909226997,747.5688757923131,1
commonsense_test_003318,32,honesty,-1010.93897575148,428.4619618153712,1
commonsense_test_003362,32,honesty,560.46776252977,1070.940051155328,1
commonsense_test_003437,32,honesty,-189.61524528273003,553.5935658330321,1
commonsense_test_003589,32,honesty,-1109.32813590773,448.999738078264,1
commonsense_test_003590,32,honesty,-1109.51563590773,591.0969645877383,1
commonsense_test_003599,32,honesty,-1605.10157340773,385.0677777113224,1
commonsense_test_003813,32,honesty,-1339.72462028273,118.21366142650868,1
deontology_test_000026,32,honesty,154.06883674851997,543.3263760400163,1
deontology_test_000032,32,honesty,-269.01807731398003,482.96931299090187,1
deontology_test_000033,32,honesty,177.74559456101997,713.5391652185258,1
deontology_test_000070,32,honesty,-123.27296012648003,502.52040664711467,1
deontology_test_000093,32,honesty,-831.90674918898,986.9399709454196,1
deontology_test_000120,32,honesty,421.13866096726997,423.1595443482035,1
deontology_test_000134,32,honesty,-263.61019970981334,991.429432469145,1
deontology_test_000149,32,honesty,548.80907112352,549.5891750153446,1
deontology_test_000315,32,honesty,280.70213752976997,890.0967638188631,1
deontology_test_000387,32,honesty,547.15868049852,1035.5312151646924,1
deontology_test_000501,32,honesty,33.12401252976997,1346.3898781568932,1
deontology_test_000621,32,honesty,510.97313362351997,839.0739808154426,1
deontology_test_000644,32,honesty,631.66649299852,1340.056108712042,1
deontology_test_000650,32,honesty,-956.95411247023,978.9081850809392,1
deontology_test_000693,32,honesty,664.95360237352,878.8638878433931,1
deontology_test_000794,32,honesty,668.59373909227,419.74979289414983,1
deontology_test_000817,32,honesty,-788.20753043898,573.6215196809962,1
deontology_test_000912,32,honesty,143.82567268601997,990.7935070958315,1
deontology_test_000929,32,honesty,1199.45360237352,914.1604782794518,1
deontology_test_000990,32,honesty,447.83446174851997,568.3046300887063,1
deontology_test_001018,32,honesty,2002.68260627977,1091.407516694004,1
deontology_test_001123,32,honesty,1300.51512581102,982.7902449165763,1
deontology_test_001164,32,honesty,951.45164924852,115.10409177107411,1
deontology_test_001187,32,honesty,596.29393440477,399.2285652127581,1
deontology_test_001221,32,honesty,114.42967659226997,593.3003805697462,1
deontology_test_001228,32,honesty,796.89207893602,404.33268150650235,1
deontology_test_001255,32,honesty,285.72166877976997,252.33534353325626,1
deontology_test_001513,32,honesty,-163.50049918898003,451.1702660237476,1
deontology_test_001584,32,honesty,-1509.54200309523,1462.055113268392,1
deontology_test_001702,32,honesty,421.60350471726997,408.4875358238723,1
deontology_test_001725,32,honesty,349.5076388318533,499.75520782403385,1
deontology_test_001728,32,honesty,-229.93506950148003,1080.4537691320008,1
deontology_test_001746,32,honesty,-795.49561637648,311.46281803300263,1
deontology_test_001788,32,honesty,-1232.05372184523,570.2006391515108,1
deontology_test_001822,32,honesty,-77.49366325148003,474.4540455241041,1
deontology_test_001839,32,honesty,305.00926643601997,396.97002317171416,1
deontology_test_001937,32,honesty,-1050.72950309523,169.07434997490046,1
deontology_test_001949,32,honesty,1452.60155159227,504.7387002990428,1
deontology_test_001957,32,honesty,-823.20118278273,510.76918482058994,1
deontology_test_002037,32,honesty,2298.91161018602,212.56867469942617,1
deontology_test_002044,32,honesty,-406.63770622023003,561.9337388214956,1
deontology_test_002157,32,honesty,-1776.60889762648,603.1264252904413,1
deontology_test_002184,32,honesty,439.93993049851997,543.1563723605911,1
deontology_test_002228,32,honesty,237.86424690476997,274.48544654355464,1
deontology_test_002315,32,honesty,321.76366096726997,266.3472305417158,1
deontology_test_002389,32,honesty,705.33446174852,673.5407841508414,1
deontology_test_002575,32,honesty,-860.56299918898,1064.7748539360011,1
deontology_test_002787,32,honesty,152.33055549851997,523.313638592726,1
deontology_test_002791,32,honesty,-303.59180778273003,324.20826675907233,1
deontology_test_002813,32,honesty,1146.82469612352,1237.0530898878308,1
deontology_test_002861,32,honesty,-423.31251090773003,748.5857908023909,1
deontology_test_002889,32,honesty,338.51756721726997,418.88040202084056,1
deontology_test_003027,32,honesty,-196.22169059523003,462.07846340311136,1
deontology_test_003044,32,honesty,-271.55860465773003,351.09300828172616,1
deontology_test_003069,32,honesty,357.09911018601997,759.974506684262,1
deontology_test_003126,32,honesty,143.66795784226997,674.9949616936453,1
deontology_test_003188,32,honesty,156.54832893601997,677.9574427803284,1
deontology_test_003246,32,honesty,424.56786018601997,606.6025816199974,1
deontology_test_003264,32,honesty,-402.74561637648003,664.3328656553673,1
deontology_test_003285,32,honesty,1308.21532112352,1074.5142573858477,1
deontology_test_003286,32,honesty,1865.11327034227,692.499058815538,1
deontology_test_003359,32,honesty,1873.73582893602,581.3185402015296,1
deontology_test_003364,32,honesty,1402.70995002977,486.5218810044869,1
deontology_test_003365,32,honesty,1170.56151252977,575.8061928323087,1
deontology_test_003382,32,honesty,-194.06885856398003,1230.3128812306634,1
deontology_test_003396,32,honesty,393.79735237351997,419.1407317241001,1
deontology_test_003410,32,honesty,-333.34717887648003,1508.3814325018188,1
deontology_test_003530,32,honesty,-216.50440543898003,264.9562927501854,1
deontology_test_003533,32,honesty,-879.16163200148,838.7401523214753,1
deontology_test_003546,32,honesty,-2027.32862418898,498.82673874453565,1
deontology_test_003584,32,honesty,-654.08838981398,493.6300684795146,1
justice_test_000073,32,honesty,107.11668831101997,450.849774347267,1
justice_test_000080,32,honesty,-102.33399528273003,265.65626962647684,1
justice_test_000233,32,honesty,1254.33055549852,762.5592070659208,1
justice_test_000270,32,honesty,984.97020393602,940.0718795206659,1
justice_test_000291,32,honesty,932.93211799852,1260.0638246134629,1
justice_test_000321,32,honesty,-67.04835075148003,1062.9660424041692,1
justice_test_000365,32,honesty,-854.81446403273,974.2862671334053,1
justice_test_000439,32,honesty,-464.01172965773003,572.8410242656895,1
justice_test_000460,32,honesty,318.95750862351997,665.0304709181785,1
justice_test_000507,32,honesty,-330.23389762648003,926.1200937772827,1
justice_test_000581,32,honesty,1595.10985237352,570.5594163846774,1
justice_test_000677,32,honesty,-658.76124137648,369.2878343315226,1
justice_test_000741,32,honesty,-78.69874137648003,242.37820140238549,1
justice_test_000755,32,honesty,2115.06151252977,918.7848127546946,1
justice_test_000785,32,honesty,241.95457893601997,851.4800710722221,1
justice_test_000798,32,honesty,-940.65772575148,811.7971794767362,1
justice_test_000821,32,honesty,-111.65333122023003,1067.8696795274498,1
justice_test_000942,32,honesty,-378.31104606398003,510.29375732164715,1
justice_test_001080,32,honesty,356.22459846726997,643.1555453622632,1
justice_test_001134,32,honesty,498.13573127976997,513.9317502017117,1
justice_test_001159,32,honesty,127.63475471726997,376.7875757255107,1
justice_test_001247,32,honesty,-300.57325309523003,1371.486366307468,1
justice_test_001270,32,honesty,-463.61573356398003,579.02999172705,1
justice_test_001281,32,honesty,635.84813362352,462.84515916778395,1
justice_test_001292,32,honesty,73.89452034226997,839.3873153110668,1
justice_test_001293,32,honesty,404.47948127976997,775.6506425443199,1
justice_test_001381,32,honesty,398.86522346726997,319.1108057765517,1
