layer,projected_trait,between_item_var,within_item_var,total_var,within_item_sd,between_item_sd,variance_ratio,reliability_1,reliability_2,reliability_3,reliability_4,reliability_5,n_items_used,clamped_negative
32,honesty,589913.1989110344,478591.15566799557,1068504.35457903,691.8028300520283,768.0580700123099,1.2326036365792439,0.5520924611893123,0.711416974174675,0.7871348976760268,0.831377723734163,0.8603940441771055,188,False
32,harmlessness,1146556.0063266726,814982.465338845,1961538.4716655177,902.7637926605414,1070.7735551117578,1.4068474538896605,0.5845187453056407,0.7377871003891366,0.8084490210552941,0.849111033479218,0.8755326776565725,188,False
32,fairness,858193.8071950774,585923.7262359068,1444117.5334309842,765.4565475818381,926.387503799073,1.464685194962643,0.5942686708859153,0.7455063023419854,0.8146107350466287,0.8542006423485528,0.8798571642222791,188,False
32,compassion,397741.10137761437,401221.5035367132,798962.6049143276,633.4204792526945,630.6671874908463,0.9913254844807181,0.49782192424420657,0.6647277839725908,0.7483628774061241,0.7986023785658585,0.832119766927359,188,False
40,honesty,7718447.75014969,7231030.986825535,14949478.736975225,2689.0576391787395,2778.2094503744115,1.067406261183529,0.5163021323987239,0.6810016570799864,0.7620304768722517,0.8102331775959487,0.842197402580893,188,False
40,harmlessness,273479.1243043732,128550.72340853247,402029.8477129057,358.5397096676078,522.9523155167909,2.127402452923273,0.6802458221949429,0.8096979777712794,0.8645391613374239,0.8948432144113428,0.9140672900173344,188,False
40,fairness,4967831.654488678,3922214.7542246366,8890046.408713315,1980.458218247645,2228.863309960635,1.2665883858444524,0.5588082925663477,0.7169685909822205,0.7916564733525611,0.8351563269681791,0.8636290850722635,188,False
40,compassion,150313.32041978388,64105.7633246311,214419.08374441497,253.1911596494457,387.7026185361454,2.3447707760470515,0.7010258499143462,0.8242389143582337,0.8755338404635604,0.9036523756519035,0.9214074596099094,188,False
47,honesty,7763896.605306899,5289100.914617199,13052997.519924099,2299.8045383504223,2786.37696755247,1.4679047971745522,0.5947979836398564,0.7459226682521013,0.8149421069387727,0.8544738914454535,0.8800890792215467,188,False
47,harmlessness,11592623.535903528,7676557.143979162,19269180.67988269,2770.6600556508483,3404.794198759086,1.5101331649691159,0.6016147613378496,0.7512602604078312,0.8191812361980636,0.8579652920724401,0.8830500430628091,188,False
47,fairness,2002565.6571308377,984401.1218181808,2986966.7789490186,992.1699057208805,1415.120368424834,2.0342984305342067,0.670434526170208,0.802706739673668,0.8592123410319384,0.8905572071239681,0.9104864429626882,188,False
47,compassion,2531287.917739858,1784127.6843219346,4315415.602061792,1335.7124257571068,1591.0021740210973,1.4187818170098543,0.5865687459002732,0.7394180017928363,0.8097537520476076,0.8501901222486032,0.8764503048536636,188,False
