layer,projected_trait,between_item_var,within_item_var,total_var,within_item_sd,between_item_sd,variance_ratio,n_items_used,clamped_negative
32,honesty,589913.1989110344,478591.15566799557,1068504.35457903,691.8028300520283,768.0580700123099,1.2326036365792439,188,False
32,harmlessness,1146556.0063266726,814982.465338845,1961538.4716655177,902.7637926605414,1070.7735551117578,1.4068474538896605,188,False
32,fairness,858193.8071950774,585923.7262359068,1444117.5334309842,765.4565475818381,926.387503799073,1.464685194962643,188,False
32,compassion,397741.10137761437,401221.5035367132,798962.6049143276,633.4204792526945,630.6671874908463,0.9913254844807181,188,False
40,honesty,7718447.75014969,7231030.986825535,14949478.736975225,2689.0576391787395,2778.2094503744115,1.067406261183529,188,False
40,harmlessness,273479.1243043732,128550.72340853247,402029.8477129057,358.5397096676078,522.9523155167909,2.127402452923273,188,False
40,fairness,4967831.654488678,3922214.7542246366,8890046.408713315,1980.458218247645,2228.863309960635,1.2665883858444524,188,False
40,compassion,150313.32041978388,64105.7633246311,214419.08374441497,253.1911596494457,387.7026185361454,2.3447707760470515,188,False
47,honesty,7763896.605306899,5289100.914617199,13052997.519924099,2299.8045383504223,2786.37696755247,1.4679047971745522,188,False
47,harmlessness,11592623.535903528,7676557.143979162,19269180.67988269,2770.6600556508483,3404.794198759086,1.5101331649691159,188,False
47,fairness,2002565.6571308377,984401.1218181808,2986966.7789490186,992.1699057208805,1415.120368424834,2.0342984305342067,188,False
47,compassion,2531287.917739858,1784127.6843219346,4315415.602061792,1335.7124257571068,1591.0021740210973,1.4187818170098543,188,False
