projected_trait,layer,mean,std,min,max
compassion,32,-1.6731834198187904e-13,890.5408564940667,-3137.2455342477006,2839.8794657522994
compassion,40,2.2229436863306787e-13,468.22926830857824,-1271.7308737796175,1940.18306665007
compassion,47,-2.9639249151075714e-13,2070.506415704443,-7535.872669595927,6350.697642904073
fairness,32,1.6875249919886658e-12,1217.407578086199,-3556.1770157481915,3409.5143905018085
fairness,40,-1.6445002754790398e-12,3055.8725893961746,-12227.7903714274,8801.0533785726
fairness,47,-6.262486514178902e-13,1734.161239479741,-6240.7190554163935,4306.1559445836065
harmlessness,32,-1.3959130245345338e-12,1404.169717812705,-4083.727809830816,3901.149143294184
harmlessness,40,-2.898192709328976e-14,630.0107729933654,-1857.2550761038622,1888.0143330758253
harmlessness,47,-6.0043382151211455e-12,4393.973607927059,-16054.608158467483,12158.591060282517
honesty,32,-1.7114276122717914e-12,1040.9867831621636,-3071.29053825148,3516.40086799852
honesty,40,1.2046920622695292e-12,3957.1656072907745,-16333.176684666556,11981.085034083444
honesty,47,1.0421542443442751e-12,3616.9859122103812,-13038.256051864322,9720.564260635678
