item_id,primary_trait,source_split,PC1,PC2,PC3,PC4
synthetic_honesty_001_upheld,honesty,synthetic,1.566366,-0.521876,0.116659,-0.033407
synthetic_honesty_001_violated,honesty,synthetic,-0.391964,0.211872,0.163424,0.276636
synthetic_honesty_002_upheld,honesty,synthetic,-0.665318,-0.037355,-0.098652,-0.024480
synthetic_honesty_002_violated,honesty,synthetic,0.228435,0.281759,-0.448454,-0.165077
synthetic_honesty_003_upheld,honesty,synthetic,-1.677289,0.227804,-0.155262,-0.088745
synthetic_honesty_003_violated,honesty,synthetic,-2.121616,0.208024,-0.217082,-0.284445
synthetic_honesty_004_upheld,honesty,synthetic,-1.208291,-0.291509,0.180645,-0.049872
synthetic_honesty_004_violated,honesty,synthetic,0.120826,0.303414,0.127609,0.190282
synthetic_honesty_005_upheld,honesty,synthetic,-0.333939,0.378678,-0.419300,-0.404477
synthetic_honesty_005_violated,honesty,synthetic,3.180559,0.453169,-0.203704,-0.120806
synthetic_honesty_006_upheld,honesty,synthetic,-2.736050,-0.320566,-0.363236,0.037118
synthetic_honesty_006_violated,honesty,synthetic,-3.526877,0.500376,0.015258,-0.039677
synthetic_honesty_007_upheld,honesty,synthetic,-1.747579,0.333733,-0.071819,-0.469491
synthetic_honesty_007_violated,honesty,synthetic,-0.766281,0.630338,0.087022,-0.299789
synthetic_honesty_008_upheld,honesty,synthetic,-2.483963,-0.361564,-0.351448,0.009774
synthetic_honesty_008_violated,honesty,synthetic,-1.341072,-0.023316,-0.425104,-0.013374
synthetic_honesty_009_upheld,honesty,synthetic,0.930063,-0.443098,0.009931,-0.115854
synthetic_honesty_009_violated,honesty,synthetic,0.904229,0.269930,-0.433582,0.001912
synthetic_honesty_010_upheld,honesty,synthetic,-0.727603,-0.709731,-0.118718,0.153101
synthetic_honesty_010_violated,honesty,synthetic,-2.064694,0.432646,-0.077077,0.121546
synthetic_honesty_011_upheld,honesty,synthetic,-2.038380,-0.325337,0.192885,-0.017126
synthetic_honesty_011_violated,honesty,synthetic,-2.487656,0.732623,0.155463,-0.062436
synthetic_honesty_012_upheld,honesty,synthetic,-3.469903,0.089341,-0.105250,-0.088521
synthetic_honesty_012_violated,honesty,synthetic,-2.534321,0.038918,-0.012264,-0.147968
synthetic_honesty_013_upheld,honesty,synthetic,1.265547,-0.209150,-0.098489,-0.078423
synthetic_honesty_013_violated,honesty,synthetic,1.647571,0.004648,-0.419194,-0.174268
synthetic_honesty_014_upheld,honesty,synthetic,-0.725499,-0.139315,-0.103080,-0.126693
synthetic_honesty_014_violated,honesty,synthetic,-3.153971,-0.001580,-0.075028,-0.259672
synthetic_honesty_015_upheld,honesty,synthetic,-0.051309,-0.251013,-0.126357,-0.088110
synthetic_honesty_015_violated,honesty,synthetic,1.187499,0.254599,-0.273704,0.206754
synthetic_honesty_016_upheld,honesty,synthetic,-2.363744,0.229161,-0.462476,-0.102059
synthetic_honesty_016_violated,honesty,synthetic,0.770831,0.374412,-0.423420,-0.147222
synthetic_honesty_017_upheld,honesty,synthetic,-2.542622,-0.272265,-0.089541,0.022722
synthetic_honesty_017_violated,honesty,synthetic,0.149007,0.385028,-0.314289,0.218634
synthetic_honesty_018_upheld,honesty,synthetic,-3.075210,0.180918,-0.129687,-0.314285
synthetic_honesty_018_violated,honesty,synthetic,1.466422,0.114573,-0.134137,-0.292614
synthetic_honesty_019_upheld,honesty,synthetic,-2.571177,0.254942,0.109330,-0.291676
synthetic_honesty_019_violated,honesty,synthetic,-1.070928,0.591617,-0.070151,-0.066766
synthetic_honesty_020_upheld,honesty,synthetic,0.147477,-0.300299,0.314389,0.039793
synthetic_honesty_020_violated,honesty,synthetic,2.511542,0.521071,-0.217093,-0.134124
synthetic_harmlessness_001_upheld,harmlessness,synthetic,1.068611,-0.479788,0.256041,-0.071503
synthetic_harmlessness_001_violated,harmlessness,synthetic,-1.082805,0.016441,-0.403404,0.143103
synthetic_harmlessness_002_upheld,harmlessness,synthetic,-2.015931,0.016634,-0.110786,-0.108454
synthetic_harmlessness_002_violated,harmlessness,synthetic,-2.078059,0.449061,-0.298284,0.184385
synthetic_harmlessness_003_upheld,harmlessness,synthetic,-0.472056,-0.008906,-0.120116,0.153245
synthetic_harmlessness_003_violated,harmlessness,synthetic,-0.787755,0.499519,-0.231861,0.215779
synthetic_harmlessness_004_upheld,harmlessness,synthetic,0.584063,0.177768,0.750185,-0.069508
synthetic_harmlessness_004_violated,harmlessness,synthetic,-0.208069,1.050483,0.388073,0.021221
synthetic_harmlessness_005_upheld,harmlessness,synthetic,1.675609,-0.429669,0.270516,0.081597
synthetic_harmlessness_005_violated,harmlessness,synthetic,-1.266679,0.775906,0.110600,0.419841
synthetic_harmlessness_006_upheld,harmlessness,synthetic,0.610689,-0.472725,-0.065472,-0.022113
synthetic_harmlessness_006_violated,harmlessness,synthetic,-0.293590,0.448636,-0.372296,0.093271
synthetic_harmlessness_007_upheld,harmlessness,synthetic,1.330211,-0.275411,0.391138,-0.007953
synthetic_harmlessness_007_violated,harmlessness,synthetic,-0.673602,0.467441,-0.376189,0.127120
synthetic_harmlessness_008_upheld,harmlessness,synthetic,2.336685,-0.528719,0.284664,0.049367
synthetic_harmlessness_008_violated,harmlessness,synthetic,3.537383,0.905374,-0.027195,0.084738
synthetic_harmlessness_009_upheld,harmlessness,synthetic,0.492187,-0.204853,0.318561,-0.271071
synthetic_harmlessness_009_violated,harmlessness,synthetic,0.027039,0.433993,-0.111824,-0.204033
synthetic_harmlessness_010_upheld,harmlessness,synthetic,1.175350,-0.497162,0.205306,-0.029793
synthetic_harmlessness_010_violated,harmlessness,synthetic,-0.219473,0.903503,0.479975,0.405448
synthetic_harmlessness_011_upheld,harmlessness,synthetic,-0.466970,-0.336080,0.082868,0.007474
synthetic_harmlessness_011_violated,harmlessness,synthetic,-2.361951,0.439064,-0.087603,0.194791
synthetic_harmlessness_012_upheld,harmlessness,synthetic,0.866784,0.435622,0.493848,-0.062144
synthetic_harmlessness_012_violated,harmlessness,synthetic,-0.301107,1.352926,0.277139,0.310812
synthetic_harmlessness_013_upheld,harmlessness,synthetic,1.834733,-0.084477,0.310610,-0.027687
synthetic_harmlessness_013_violated,harmlessness,synthetic,2.148018,0.616126,-0.054747,0.159927
synthetic_harmlessness_014_upheld,harmlessness,synthetic,2.777629,-0.247499,0.502807,-0.094485
synthetic_harmlessness_014_violated,harmlessness,synthetic,-0.479143,0.644904,-0.088244,0.181647
synthetic_harmlessness_015_upheld,harmlessness,synthetic,1.477208,0.085423,0.150872,-0.118277
synthetic_harmlessness_015_violated,harmlessness,synthetic,0.216016,0.643031,-0.113794,-0.102252
synthetic_harmlessness_016_upheld,harmlessness,synthetic,-1.072135,-0.064855,0.272202,-0.059117
synthetic_harmlessness_016_violated,harmlessness,synthetic,-0.257791,0.507235,-0.091755,0.267763
synthetic_harmlessness_017_upheld,harmlessness,synthetic,2.578802,-0.180547,0.513791,-0.141623
synthetic_harmlessness_017_violated,harmlessness,synthetic,0.629773,0.485775,-0.054160,-0.035889
synthetic_harmlessness_018_upheld,harmlessness,synthetic,-0.893373,-0.396105,0.045826,0.072640
