item_id,primary_trait,source_split,PC1,PC2,PC3,PC4
synthetic_honesty_001_upheld,honesty,synthetic,1.566365,-0.521878,0.116661,-0.033405
synthetic_honesty_001_violated,honesty,synthetic,-0.391963,0.211872,0.163423,0.276636
synthetic_honesty_002_upheld,honesty,synthetic,-0.665320,-0.037353,-0.098652,-0.024478
synthetic_honesty_002_violated,honesty,synthetic,0.228435,0.281760,-0.448452,-0.165079
synthetic_honesty_003_upheld,honesty,synthetic,-1.677289,0.227804,-0.155267,-0.088747
synthetic_honesty_003_violated,honesty,synthetic,-2.121618,0.208027,-0.217086,-0.284443
synthetic_honesty_004_upheld,honesty,synthetic,-1.208290,-0.291512,0.180643,-0.049873
synthetic_honesty_004_violated,honesty,synthetic,0.120829,0.303409,0.127608,0.190280
synthetic_honesty_005_upheld,honesty,synthetic,-0.333940,0.378678,-0.419299,-0.404480
synthetic_honesty_005_violated,honesty,synthetic,3.180562,0.453166,-0.203703,-0.120808
synthetic_honesty_006_upheld,honesty,synthetic,-2.736051,-0.320568,-0.363236,0.037119
synthetic_honesty_006_violated,honesty,synthetic,-3.526878,0.500375,0.015255,-0.039678
synthetic_honesty_007_upheld,honesty,synthetic,-1.747578,0.333736,-0.071821,-0.469492
synthetic_honesty_007_violated,honesty,synthetic,-0.766280,0.630336,0.087018,-0.299786
synthetic_honesty_008_upheld,honesty,synthetic,-2.483960,-0.361567,-0.351452,0.009777
synthetic_honesty_008_violated,honesty,synthetic,-1.341073,-0.023316,-0.425102,-0.013373
synthetic_honesty_009_upheld,honesty,synthetic,0.930067,-0.443098,0.009929,-0.115854
synthetic_honesty_009_violated,honesty,synthetic,0.904232,0.269935,-0.433580,0.001912
synthetic_honesty_010_upheld,honesty,synthetic,-0.727603,-0.709727,-0.118717,0.153096
synthetic_honesty_010_violated,honesty,synthetic,-2.064696,0.432645,-0.077076,0.121549
synthetic_honesty_011_upheld,honesty,synthetic,-2.038378,-0.325341,0.192885,-0.017125
synthetic_honesty_011_violated,honesty,synthetic,-2.487655,0.732624,0.155459,-0.062434
synthetic_honesty_012_upheld,honesty,synthetic,-3.469900,0.089342,-0.105252,-0.088521
synthetic_honesty_012_violated,honesty,synthetic,-2.534317,0.038921,-0.012259,-0.147966
synthetic_honesty_013_upheld,honesty,synthetic,1.265545,-0.209151,-0.098484,-0.078422
synthetic_honesty_013_violated,honesty,synthetic,1.647574,0.004653,-0.419194,-0.174270
synthetic_honesty_014_upheld,honesty,synthetic,-0.725504,-0.139313,-0.103078,-0.126691
synthetic_honesty_014_violated,honesty,synthetic,-3.153968,-0.001579,-0.075032,-0.259671
synthetic_honesty_015_upheld,honesty,synthetic,-0.051307,-0.251012,-0.126356,-0.088110
synthetic_honesty_015_violated,honesty,synthetic,1.187502,0.254599,-0.273709,0.206754
synthetic_honesty_016_upheld,honesty,synthetic,-2.363745,0.229159,-0.462473,-0.102058
synthetic_honesty_016_violated,honesty,synthetic,0.770832,0.374409,-0.423422,-0.147218
synthetic_honesty_017_upheld,honesty,synthetic,-2.542621,-0.272264,-0.089540,0.022724
synthetic_honesty_017_violated,honesty,synthetic,0.149009,0.385033,-0.314287,0.218632
synthetic_honesty_018_upheld,honesty,synthetic,-3.075208,0.180914,-0.129689,-0.314286
synthetic_honesty_018_violated,honesty,synthetic,1.466422,0.114575,-0.134141,-0.292615
synthetic_honesty_019_upheld,honesty,synthetic,-2.571180,0.254944,0.109333,-0.291675
