trait,layer,vector_path,n_positive,n_negative,vector_method,normalization,hidden_dim
honesty,16,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/vector_construction/persona_vectors/honesty_layer16.npy,93,88,difference_of_means,unit_norm,3840
honesty,24,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/vector_construction/persona_vectors/honesty_layer24.npy,93,88,difference_of_means,unit_norm,3840
honesty,28,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/vector_construction/persona_vectors/honesty_layer28.npy,93,88,difference_of_means,unit_norm,3840
honesty,32,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/vector_construction/persona_vectors/honesty_layer32.npy,93,88,difference_of_means,unit_norm,3840
honesty,40,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/vector_construction/persona_vectors/honesty_layer40.npy,93,88,difference_of_means,unit_norm,3840
honesty,47,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/vector_construction/persona_vectors/honesty_layer47.npy,93,88,difference_of_means,unit_norm,3840
harmlessness,16,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/vector_construction/persona_vectors/harmlessness_layer16.npy,99,50,difference_of_means,unit_norm,3840
harmlessness,24,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/vector_construction/persona_vectors/harmlessness_layer24.npy,99,50,difference_of_means,unit_norm,3840
harmlessness,28,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/vector_construction/persona_vectors/harmlessness_layer28.npy,99,50,difference_of_means,unit_norm,3840
harmlessness,32,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/vector_construction/persona_vectors/harmlessness_layer32.npy,99,50,difference_of_means,unit_norm,3840
harmlessness,40,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/vector_construction/persona_vectors/harmlessness_layer40.npy,99,50,difference_of_means,unit_norm,3840
harmlessness,47,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/vector_construction/persona_vectors/harmlessness_layer47.npy,99,50,difference_of_means,unit_norm,3840
fairness,16,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/vector_construction/persona_vectors/fairness_layer16.npy,90,33,difference_of_means,unit_norm,3840
fairness,24,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/vector_construction/persona_vectors/fairness_layer24.npy,90,33,difference_of_means,unit_norm,3840
fairness,28,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/vector_construction/persona_vectors/fairness_layer28.npy,90,33,difference_of_means,unit_norm,3840
fairness,32,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/vector_construction/persona_vectors/fairness_layer32.npy,90,33,difference_of_means,unit_norm,3840
fairness,40,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/vector_construction/persona_vectors/fairness_layer40.npy,90,33,difference_of_means,unit_norm,3840
fairness,47,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/vector_construction/persona_vectors/fairness_layer47.npy,90,33,difference_of_means,unit_norm,3840
compassion,16,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/vector_construction/persona_vectors/compassion_layer16.npy,97,77,difference_of_means,unit_norm,3840
compassion,24,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/vector_construction/persona_vectors/compassion_layer24.npy,97,77,difference_of_means,unit_norm,3840
compassion,28,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/vector_construction/persona_vectors/compassion_layer28.npy,97,77,difference_of_means,unit_norm,3840
compassion,32,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/vector_construction/persona_vectors/compassion_layer32.npy,97,77,difference_of_means,unit_norm,3840
compassion,40,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/vector_construction/persona_vectors/compassion_layer40.npy,97,77,difference_of_means,unit_norm,3840
compassion,47,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/vector_construction/persona_vectors/compassion_layer47.npy,97,77,difference_of_means,unit_norm,3840
